subtype	FDR	geom_mean_c1	geom_mean_c2	fold_change	probe_set	description	gene_symbol
CD-2	< 1e-07	0.3075768	1.150463	0.2673505	202345_s_at	fatty acid binding protein 5 (psoriasis-associated) /// fatty acid binding protein 5-like 7 /// fatty acid binding protein 5-like 2	FABP5 /// FABP5L2 /// FABP5L7
CD-2	0.0000199	0.3098693	1.1494478	0.269581	229221_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.0000123	0.3201594	1.1449924	0.279617	205352_at	"serpin peptidase inhibitor, clade I (neuroserpin), member 1"	SERPINI1
CD-2	0.0000331	0.3230186	1.1437828	0.2824125	212014_x_at	CD44 molecule (Indian blood group)	CD44
CD-2	0.000203	0.3280713	1.1416743	0.2873598	226961_at	proline rich 15	PRR15
CD-2	0.000455	0.3424497	1.1358675	0.3014873	226905_at	"family with sequence similarity 101, member B"	FAM101B
CD-2	0.002093	0.3559508	1.130658	0.3148174	220565_at	chemokine (C-C motif) receptor 10	CCR10
CD-2	0.000486	0.3616312	1.1285319	0.3204439	212771_at	chromosome 10 open reading frame 38	C10orf38
CD-2	0.0000082	0.3629299	1.1280511	0.3217318	211434_s_at	chemokine (C-C motif) receptor-like 2 /// similar to chemokine (C-C motif) receptor-like 2	CCRL2 /// LOC727811
CD-2	0.001525	0.3670581	1.1265353	0.3258292	205239_at	amphiregulin (schwannoma-derived growth factor) /// similar to Amphiregulin precursor (AR) (Colorectum cell-derived growth factor) (CRDGF)	AREG /// LOC727738
CD-2	0.001298	0.3693589	1.1256988	0.3281152	202207_at	ADP-ribosylation factor-like 4C	ARL4C
CD-2	0.0000095	0.3696869	1.12558	0.3284413	218280_x_at	"histone cluster 2, H2aa3 /// histone cluster 2, H2aa4"	HIST2H2AA3 /// HIST2H2AA4
CD-2	0.000785	0.3719737	1.1247551	0.3307153	204014_at	dual specificity phosphatase 4	DUSP4
CD-2	0.000315	0.3741876	1.123962	0.3329183	233555_s_at	sulfatase 2	SULF2
CD-2	0.000455	0.379569	1.1220556	0.33828	204015_s_at	dual specificity phosphatase 4	DUSP4
CD-2	0.000267	0.3824024	1.121064	0.3411066	214290_s_at	"histone cluster 2, H2aa3 /// histone cluster 2, H2aa4"	HIST2H2AA3 /// HIST2H2AA4
CD-2	0.001298	0.388649	1.1189066	0.3473472	219410_at	transmembrane protein 45A	TMEM45A
CD-2	0.000217	0.394571	1.1168969	0.3532743	226034_at	"Homo sapiens, clone IMAGE:3881549, mRNA"	
CD-2	< 1e-07	0.3977269	1.1158397	0.3564373	204070_at	retinoic acid receptor responder (tazarotene induced) 3	RARRES3
CD-2	0.000198	0.4048006	1.1135036	0.3635377	238022_at	hCG1815491	hCG_1815491
CD-2	0.0000199	0.4132222	1.1107812	0.3720105	215071_s_at	"histone cluster 1, H2ac"	HIST1H2AC
CD-2	0.003004	0.4168478	1.1096282	0.3756644	202887_s_at	DNA-damage-inducible transcript 4	DDIT4
CD-2	0.000285	0.4267059	1.1065492	0.3856186	203471_s_at	pleckstrin	PLEK
CD-2	0.001386	0.4282535	1.106073	0.3871838	229391_s_at	"family with sequence similarity 26, member F"	FAM26F
CD-2	0.0000019	0.429538	1.1056793	0.3884833	221524_s_at	Ras-related GTP binding D	RRAGD
CD-2	0.001583	0.4297547	1.105613	0.3887027	213737_x_at	"golgi autoantigen, golgin subfamily a, 9 pseudogene"	GOLGA9P
CD-2	0.001287	0.4316324	1.1050401	0.3906034	201417_at	SRY (sex determining region Y)-box 4	SOX4
CD-2	0.003616	0.4335203	1.104467	0.3925154	204834_at	fibrinogen-like 2	FGL2
CD-2	0.00067	0.438991	1.1028216	0.3980617	201125_s_at	"integrin, beta 5"	ITGB5
CD-2	0.000137	0.4418591	1.1019682	0.4009727	219532_at	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4"	ELOVL4
CD-2	0.0000149	0.4625971	1.095976	0.4220869	221523_s_at	Ras-related GTP binding D	RRAGD
CD-1	0.0026119	0.0919421	1.1063442	0.0831044	201005_at	CD9 molecule	CD9
CD-1	0.0005891	0.1876087	1.0734314	0.1747748	205352_at	"serpin peptidase inhibitor, clade I (neuroserpin), member 1"	SERPINI1
CD-1	0.0048452	0.188187	1.0732915	0.1753364	205239_at	amphiregulin (schwannoma-derived growth factor) /// similar to Amphiregulin precursor (AR) (Colorectum cell-derived growth factor) (CRDGF)	AREG /// LOC727738
CD-1	0.006057	0.2018211	1.0701173	0.1885972	222392_x_at	"PERP, TP53 apoptosis effector"	PERP
CD-1	0.0105801	0.2698444	1.0570357	0.2552841	213737_x_at	"golgi autoantigen, golgin subfamily a, 9 pseudogene"	GOLGA9P
CD-1	0.0018807	0.2748542	1.0562126	0.2602262	211071_s_at	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"	MLLT11
CD-1	0.0111234	0.276451	1.0559536	0.2618022	227067_x_at	Notch homolog 2 (Drosophila) N-terminal like	NOTCH2NL
CD-1	0.0070841	0.2877008	1.0541715	0.2729165	204647_at	homer homolog 3 (Drosophila)	HOMER3
CD-1	0.0003258	0.2919686	1.0535144	0.2771378	208078_s_at	SNF1-like kinase	SNF1LK
CTA	< 1e-07	0.0850644	1.1995322	0.0709146	200643_at	high density lipoprotein binding protein (vigilin)	HDLBP
CTA	< 1e-07	0.1184474	1.1705701	0.1011878	201024_x_at	eukaryotic translation initiation factor 5B	EIF5B
CTA	< 1e-07	0.1289579	1.1632462	0.1108604	212586_at	calpastatin	CAST
CTA	< 1e-07	0.1320528	1.1612113	0.1137199	203675_at	nucleobindin 2	NUCB2
CTA	< 1e-07	0.1339112	1.1600139	0.1154393	200977_s_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	TAX1BP1
CTA	< 1e-07	0.1352544	1.1591594	0.1166832	224567_x_at	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	MALAT1
CTA	< 1e-07	0.1372807	1.1578876	0.1185613	211968_s_at	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	HSP90AA1
CTA	< 1e-07	0.1505001	1.1500554	0.1308633	200595_s_at	"eukaryotic translation initiation factor 3, subunit A"	EIF3A
CTA	< 1e-07	0.1542631	1.1479605	0.1343802	210645_s_at	tetratricopeptide repeat domain 3	TTC3
CTA	< 1e-07	0.1606173	1.1445447	0.1403329	219221_at	zinc finger and BTB domain containing 38	ZBTB38
CTA	< 1e-07	0.1633376	1.1431265	0.1428867	200770_s_at	"laminin, gamma 1 (formerly LAMB2)"	LAMC1
CTA	< 1e-07	0.1708276	1.139349	0.1499344	201916_s_at	SEC63 homolog (S. cerevisiae)	SEC63
CTA	< 1e-07	0.1725087	1.1385256	0.1515194	221767_x_at	high density lipoprotein binding protein (vigilin)	HDLBP
CTA	< 1e-07	0.1741055	1.1377514	0.153026	201086_x_at	SON DNA binding protein	SON
CTA	< 1e-07	0.1748454	1.1373953	0.1537244	208073_x_at	tetratricopeptide repeat domain 3	TTC3
CTA	< 1e-07	0.1764111	1.136647	0.1552031	201648_at	Janus kinase 1 (a protein tyrosine kinase)	JAK1
CTA	< 1e-07	0.1784495	1.1356833	0.1571297	208901_s_at	topoisomerase (DNA) I	TOP1
CTA	< 1e-07	0.178653	1.1355878	0.1573221	200843_s_at	glutamyl-prolyl-tRNA synthetase	EPRS
CTA	< 1e-07	0.1812618	1.1343731	0.1597903	201664_at	structural maintenance of chromosomes 4	SMC4
CTA	< 1e-07	0.1813479	1.1343333	0.1598718	213446_s_at	IQ motif containing GTPase activating protein 1	IQGAP1
CTA	< 1e-07	0.1859167	1.1322516	0.1642009	201952_at	activated leukocyte cell adhesion molecule	ALCAM
CTA	< 1e-07	0.1868984	1.1318114	0.1651321	212614_at	AT rich interactive domain 5B (MRF1-like)	ARID5B
CTA	< 1e-07	0.1871968	1.1316782	0.1654152	200842_s_at	glutamyl-prolyl-tRNA synthetase	EPRS
CTA	< 1e-07	0.1897755	1.1305357	0.1678633	208966_x_at	"interferon, gamma-inducible protein 16"	IFI16
CTA	< 1e-07	0.189921	1.1304717	0.1680016	211946_s_at	BAT2 domain containing 1	BAT2D1
CTA	< 1e-07	0.1908708	1.1300555	0.1689039	214988_s_at	SON DNA binding protein	SON
CTA	< 1e-07	0.192562	1.1293198	0.1705115	200791_s_at	IQ motif containing GTPase activating protein 1	IQGAP1
CTA	< 1e-07	0.1925743	1.1293144	0.1705232	212248_at	"CDNA FLJ41088 fis, clone ASTRO2002459 /// Metadherin"	MTDH
CTA	0.0011701	0.1991866	1.1265033	0.1768185	208451_s_at	complement component 4A (Rodgers blood group) /// complement component 4B (Childo blood group)	C4A /// C4B
CTA	< 1e-07	0.2007262	1.1258631	0.1782865	228487_s_at	Transcribed locus	
CTA	< 1e-07	0.2066354	1.1234542	0.1839286	200598_s_at	"heat shock protein 90kDa beta (Grp94), member 1"	HSP90B1
CTA	0.0000109	0.2069937	1.1233105	0.1842711	211986_at	AHNAK nucleoprotein	AHNAK
CTA	< 1e-07	0.2121718	1.1212634	0.1892256	201084_s_at	BCL2-associated transcription factor 1	BCLAF1
CTA	< 1e-07	0.2132141	1.1208578	0.1902241	211987_at	topoisomerase (DNA) II beta 180kDa	TOP2B
CTA	< 1e-07	0.2132769	1.1208334	0.1902842	203097_s_at	Rap guanine nucleotide exchange factor (GEF) 2	RAPGEF2
CTA	< 1e-07	0.2153278	1.1200418	0.1922498	214356_s_at	KIAA0368	KIAA0368
CTA	< 1e-07	0.2171592	1.1193417	0.1940062	227478_at	SET binding protein 1	SETBP1
CTA	< 1e-07	0.2185387	1.1188185	0.1953299	223082_at	SH3-domain kinase binding protein 1	SH3KBP1
CTA	< 1e-07	0.2197604	1.1183582	0.1965027	206332_s_at	"interferon, gamma-inducible protein 16"	IFI16
CTA	< 1e-07	0.221711	1.1176288	0.1983762	230793_at	leucine rich repeat containing 16A	LRRC16A
CTA	< 1e-07	0.2243402	1.1166565	0.2009035	1558678_s_at	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	MALAT1
CTA	0.0000298	0.229552	1.1147649	0.2059197	217234_s_at	ezrin	EZR
CTA	0.0000491	0.2375219	1.1119595	0.2136066	202973_x_at	"family with sequence similarity 13, member A1"	FAM13A1
CTA	< 1e-07	0.2381502	1.1117427	0.2142134	218386_x_at	ubiquitin specific peptidase 16	USP16
CTA	< 1e-07	0.2397611	1.1111895	0.2157698	225368_at	homeodomain interacting protein kinase 2	HIPK2
CTA	< 1e-07	0.2406947	1.1108708	0.2166721	203593_at	CD2-associated protein	CD2AP
CTA	0.0000059	0.2426536	1.1102063	0.2185662	212286_at	ankyrin repeat domain 12	ANKRD12
CTA	< 1e-07	0.2445929	1.109554	0.2204425	211951_at	nucleolar and coiled-body phosphoprotein 1	NOLC1
CTA	< 1e-07	0.244884	1.1094566	0.2207242	208974_x_at	karyopherin (importin) beta 1	KPNB1
CTA	< 1e-07	0.2457974	1.1091517	0.2216084	200594_x_at	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRNPU
NFkB	< 1e-07	0.0943484	1.3615867	0.069293	206978_at	chemokine (C-C motif) receptor 2 /// chemokine (C-C motif) receptor 2-like	CCR2 /// FLJ78302
NFkB	< 1e-07	0.0984014	1.3541197	0.0726682	212731_at	ankyrin repeat domain 46	ANKRD46
NFkB	< 1e-07	0.1353687	1.2988143	0.1042248	200768_s_at	"methionine adenosyltransferase II, alpha"	MAT2A
NFkB	< 1e-07	0.1453368	1.2868049	0.112944	231576_at	Transcribed locus	
NFkB	< 1e-07	0.148416	1.2832826	0.1156534	202797_at	SAC1 suppressor of actin mutations 1-like (yeast)	SACM1L
NFkB	< 1e-07	0.1526816	1.2785373	0.119419	209296_at	"protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform"	PPM1B
NFkB	< 1e-07	0.1681507	1.2625069	0.1331879	213005_s_at	KN motif and ankyrin repeat domains 1	KANK1
NFkB	< 1e-07	0.1744243	1.256475	0.1388204	201503_at	GTPase activating protein (SH3 domain) binding protein 1	G3BP1
NFkB	< 1e-07	0.1854529	1.2464436	0.1487856	201664_at	structural maintenance of chromosomes 4	SMC4
NFkB	< 1e-07	0.2261344	1.2145389	0.1861895	201098_at	"coatomer protein complex, subunit beta 2 (beta prime)"	COPB2
NFkB	< 1e-07	0.2264004	1.2143522	0.1864372	201795_at	lamin B receptor	LBR
NFkB	< 1e-07	0.2278512	1.2133385	0.1877887	203605_at	signal recognition particle 54kDa	SRP54
NFkB	< 1e-07	0.2286716	1.2127685	0.1885534	223716_s_at	"zinc finger, RAN-binding domain containing 2"	ZRANB2
NFkB	< 1e-07	0.2310251	1.211146	0.1907492	203213_at	"cell division cycle 2, G1 to S and G2 to M"	CDC2
NFkB	< 1e-07	0.2334339	1.2095047	0.1929996	207165_at	hyaluronan-mediated motility receptor (RHAMM)	HMMR
NFkB	< 1e-07	0.2341545	1.2090173	0.1936734	208898_at	"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D"	ATP6V1D
NFkB	0.0000023	0.2383138	1.2062374	0.1975679	209583_s_at	CD200 molecule	CD200
NFkB	< 1e-07	0.2447719	1.202028	0.2036325	225433_at	"General transcription factor IIA, 1, 19/37kDa"	GTF2A1
NFkB	< 1e-07	0.2454156	1.2016153	0.2042381	209200_at	myocyte enhancer factor 2C	MEF2C
NFkB	< 1e-07	0.246799	1.2007325	0.2055403	211784_s_at	"splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"	SFRS1
NFkB	< 1e-07	0.2491405	1.199251	0.2077467	203066_at	B cell RAG associated protein	GALNAC4S-6ST
NFkB	< 1e-07	0.2548263	1.1957182	0.2131157	218501_at	Rho guanine nucleotide exchange factor (GEF) 3	ARHGEF3
NFkB	< 1e-07	0.2586938	1.1933657	0.2167767	238029_s_at	"solute carrier family 16, member 14 (monocarboxylic acid transporter 14)"	SLC16A14
NFkB	< 1e-07	0.2600108	1.1925737	0.2180249	208901_s_at	topoisomerase (DNA) I	TOP1
NFkB	< 1e-07	0.263624	1.1904238	0.2214539	219035_s_at	ring finger protein 34	RNF34
NFkB	< 1e-07	0.2655818	1.1892728	0.2233144	201890_at	ribonucleotide reductase M2 polypeptide	RRM2
NFkB	< 1e-07	0.2675676	1.1881151	0.2252035	213689_x_at	"family with sequence similarity 69, member A"	FAM69A
NFkB	< 1e-07	0.272559	1.1852475	0.2299596	203159_at	glutaminase	GLS
NFkB	0.0000161	0.2760778	1.1832614	0.2333193	212588_at	"protein tyrosine phosphatase, receptor type, C"	PTPRC
NFkB	< 1e-07	0.2800014	1.1810803	0.2370723	212149_at	EFR3 homolog A (S. cerevisiae)	EFR3A
NFkB	< 1e-07	0.2801197	1.181015	0.2371856	202677_at	RAS p21 protein activator (GTPase activating protein) 1	RASA1
NFkB	< 1e-07	0.2804575	1.180829	0.237509	201086_x_at	SON DNA binding protein	SON
NFkB	< 1e-07	0.2849477	1.1783794	0.2418132	200799_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B
NFkB	< 1e-07	0.2856403	1.1780054	0.2424779	206102_at	GINS complex subunit 1 (Psf1 homolog)	GINS1
NFkB	< 1e-07	0.2870026	1.1772728	0.243786	222516_at	"adaptor-related protein complex 3, mu 1 subunit"	AP3M1
NFkB	< 1e-07	0.2870995	1.1772209	0.243879	209484_s_at	"NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)"	NSL1
NFkB	< 1e-07	0.2930769	1.1740536	0.2496282	202710_at	blocked early in transport 1 homolog (S. cerevisiae)	BET1
NFkB	< 1e-07	0.298969	1.1710022	0.2553104	210145_at	"phospholipase A2, group IVA (cytosolic, calcium-dependent)"	PLA2G4A
NFkB	< 1e-07	0.3001465	1.1704005	0.2564477	202395_at	N-ethylmaleimide-sensitive factor	NSF
NFkB	< 1e-07	0.301476	1.1697245	0.2577325	203755_at	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B
NFkB	< 1e-07	0.3029516	1.168978	0.2591594	202960_s_at	methylmalonyl Coenzyme A mutase	MUT
NFkB	< 1e-07	0.3079848	1.1664624	0.2640332	201803_at	"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa"	POLR2B
NFkB	< 1e-07	0.3183391	1.1614304	0.2740923	223060_at	chromosome 14 open reading frame 119	C14orf119
NFkB	0.0027972	0.3208489	1.1602385	0.2765371	214070_s_at	"ATPase, class V, type 10B"	ATP10B
NFkB	< 1e-07	0.3209599	1.1601861	0.2766452	214988_s_at	SON DNA binding protein	SON
NFkB	< 1e-07	0.3228052	1.1593168	0.2784443	203804_s_at	cisplatin resistance-associated overexpressed protein	CROP
NFkB	< 1e-07	0.3258402	1.1578992	0.2814064	218139_s_at	chromosome 14 open reading frame 108	C14orf108
NFkB	< 1e-07	0.3307205	1.1556508	0.2861769	218585_s_at	denticleless homolog (Drosophila)	DTL
NFkB	< 1e-07	0.3336161	1.1543345	0.2890116	208775_at	"exportin 1 (CRM1 homolog, yeast)"	XPO1
NFkB	< 1e-07	0.3346518	1.1538668	0.2900264	201395_at	RNA binding motif protein 5	RBM5
HY	< 1e-07	0.1944657	1.6801421	0.1157436	200953_s_at	cyclin D2	CCND2
HY	< 1e-07	0.2768018	1.5023161	0.18425	219799_s_at	dehydrogenase/reductase (SDR family) member 9	DHRS9
HY	< 1e-07	0.2809972	1.4951719	0.1879364	203186_s_at	S100 calcium binding protein A4	S100A4
HY	< 1e-07	0.2867188	1.4856523	0.1929918	201029_s_at	CD99 molecule	CD99
HY	< 1e-07	0.2911581	1.478437	0.1969364	225673_at	myeloid-associated differentiation marker	MYADM
HY	< 1e-07	0.3125552	1.4455855	0.2162136	201666_at	TIMP metallopeptidase inhibitor 1	TIMP1
HY	< 1e-07	0.3216707	1.4324772	0.2245555	224009_x_at	dehydrogenase/reductase (SDR family) member 9	DHRS9
HY	< 1e-07	0.3254385	1.4272011	0.2280257	205229_s_at	"coagulation factor C homolog, cochlin (Limulus polyphemus)"	COCH
HY	< 1e-07	0.3279338	1.4237509	0.2303309	200951_s_at	cyclin D2	CCND2
HY	< 1e-07	0.3338703	1.4156799	0.2358374	223952_x_at	dehydrogenase/reductase (SDR family) member 9	DHRS9
HY	< 1e-07	0.345031	1.4010061	0.2462737	204563_at	selectin L (lymphocyte adhesion molecule 1)	SELL
HY	0.0000025	0.3616203	1.3803127	0.2619843	217963_s_at	nerve growth factor receptor (TNFRSF16) associated protein 1	NGFRAP1
HY	< 1e-07	0.3620287	1.3798192	0.262374	209118_s_at	"tubulin, alpha 1a"	TUBA1A
HY	< 1e-07	0.3773295	1.3618382	0.2770737	235518_at	"solute carrier family 8 (sodium/calcium exchanger), member 1"	SLC8A1
HY	< 1e-07	0.3927262	1.3446886	0.2920574	202207_at	ADP-ribosylation factor-like 4C	ARL4C
HY	0.0001174	0.3992797	1.3376554	0.2984922	225681_at	collagen triple helix repeat containing 1	CTHRC1
HY	0.0001992	0.4060728	1.3305237	0.3051977	204285_s_at	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
HY	< 1e-07	0.4280408	1.3084954	0.3271244	34210_at	CD52 molecule	CD52
HY	0.000194	0.4302432	1.3063692	0.3293427	221911_at	ets variant gene 1	ETV1
HY	< 1e-07	0.4389906	1.2980639	0.3381887	208622_s_at	ezrin	EZR
HY	0.000021	0.4405542	1.2966023	0.3397759	217996_at	"pleckstrin homology-like domain, family A, member 1"	PHLDA1
HY	< 1e-07	0.4407373	1.2964316	0.3399619	204222_s_at	GLI pathogenesis-related 1 (glioma)	GLIPR1
HY	0.0008115	0.444729	1.292733	0.3440223	201540_at	four and a half LIM domains 1	FHL1
HY	< 1e-07	0.446189	1.2913911	0.3455104	216064_s_at	aspartylglucosaminidase	AGA
HY	0.0000644	0.4471269	1.2905322	0.3464671	217967_s_at	"family with sequence similarity 129, member A"	FAM129A
HY	0.0006464	0.4549309	1.2834757	0.3544523	204777_s_at	"mal, T-cell differentiation protein"	MAL
HY	0.0030679	0.4563054	1.2822494	0.3558632	201005_at	CD9 molecule	CD9
HY	0.0000331	0.4577505	1.2809652	0.3573481	201163_s_at	insulin-like growth factor binding protein 7	IGFBP7
HY	0.0048385	0.4682507	1.2717927	0.3681817	228592_at	"membrane-spanning 4-domains, subfamily A, member 1"	MS4A1
HY	0.0000025	0.46828	1.2717674	0.368212	202295_s_at	cathepsin H	CTSH
HY	0.0000025	0.4693147	1.2708783	0.3692837	204141_at	"tubulin, beta 2A"	TUBB2A
HY	0.0020526	0.470621	1.2697594	0.3706379	204379_s_at	"fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)"	FGFR3
HY	0.0001299	0.4719634	1.2686139	0.3720308	235400_at	Fc receptor-like A	FCRLA
HY	< 1e-07	0.4723513	1.2682837	0.3724335	238389_s_at	"Transcribed locus, moderately similar to XP_001093747.1 PREDICTED: tumor protein p53 binding protein, 2 [Macaca mulatta]"	
HY	0.0001019	0.4725533	1.2681119	0.3726432	235401_s_at	Fc receptor-like A	FCRLA
HY	0.0001989	0.4736206	1.2672056	0.373752	208158_s_at	oxysterol binding protein-like 1A	OSBPL1A
HY	< 1e-07	0.4739938	1.2668894	0.3741398	219155_at	"phosphatidylinositol transfer protein, cytoplasmic 1"	PITPNC1
HY	< 1e-07	0.4792417	1.2624769	0.3796043	203560_at	"gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)"	GGH
HY	0.0008454	0.4813238	1.2607439	0.3817776	212724_at	Rho family GTPase 3	RND3
HY	< 1e-07	0.4876251	1.2555585	0.3883731	213348_at	"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"	CDKN1C
HY	0.0000047	0.4894206	1.254097	0.3902574	226875_at	dedicator of cytokinesis 11	DOCK11
HY	< 1e-07	0.490747	1.253022	0.3916507	224606_at	Kruppel-like factor 6	KLF6
HY	0.0021014	0.4913495	1.2525349	0.3922841	204286_s_at	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
HY	< 1e-07	0.4913796	1.2525106	0.3923157	221675_s_at	choline phosphotransferase 1	CHPT1
HY	0.0000104	0.4917013	1.2522508	0.392654	210299_s_at	four and a half LIM domains 1	FHL1
HY	< 1e-07	0.4956205	1.2491045	0.3967807	230264_s_at	"adaptor-related protein complex 1, sigma 2 subunit"	AP1S2
HY	0.0000665	0.4957142	1.2490297	0.3968795	200675_at	CD81 molecule	CD81
HY	0.0000047	0.4964718	1.2484255	0.3976783	208961_s_at	Kruppel-like factor 6	KLF6
HY	0.0025538	0.4976462	1.2474912	0.3989176	221841_s_at	Kruppel-like factor 4 (gut)	KLF4
HY	0.0000025	0.4979108	1.2472811	0.3991969	200934_at	DEK oncogene (DNA binding)	DEK
PRL3	0.0001092	0.0387478	1.0986379	0.035269	201721_s_at	lysosomal associated multispanning membrane protein 5	LAPTM5
PRL3	0.001092	0.0413253	1.0965923	0.0376852	212063_at	CD44 molecule (Indian blood group)	CD44
PRL3	0.0162344	0.0900133	1.072164	0.0839548	204489_s_at	CD44 molecule (Indian blood group)	CD44
PRL3	0.0453686	0.1704589	1.0525339	0.161951	216438_s_at	"thymosin beta 4, X-linked /// thymosin-like 3"	TMSB4X /// TMSL3
PRL3	0.0217991	0.2026659	1.0472757	0.1935173	208892_s_at	dual specificity phosphatase 6	DUSP6
PRL3	0.013041	0.2090168	1.0463409	0.1997598	208690_s_at	PDZ and LIM domain 1 (elfin)	PDLIM1
PRL3	0.033983	0.2864643	1.0368401	0.2762859	225282_at	stromal membrane-associated GTPase-activating protein 2	SMAP2
PRL3	0.033983	0.3517392	1.0306991	0.3412627	201432_at	catalase	CAT
PRL3	0.0217991	0.4061283	1.0264194	0.3956748	201300_s_at	"prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"	PRNP
PR	< 1e-07	0.1148631	1.1122967	0.1032666	215001_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL
PR	0.0000364	0.1272524	1.1067074	0.1149829	206150_at	CD27 molecule	CD27
PR	< 1e-07	0.139562	1.1016931	0.1266795	209201_x_at	chemokine (C-X-C motif) receptor 4	CXCR4
PR	0.000273	0.1447575	1.0997145	0.1316319	235400_at	Fc receptor-like A	FCRLA
PR	0.0000111	0.1555252	1.0958409	0.1419231	211919_s_at	chemokine (C-X-C motif) receptor 4	CXCR4
PR	< 1e-07	0.15884	1.0947049	0.1450985	205671_s_at	"major histocompatibility complex, class II, DO beta"	HLA-DOB
PR	< 1e-07	0.1681987	1.0916271	0.1540807	209619_at	"CD74 molecule, major histocompatibility complex, class II invariant chain"	CD74
PR	0.000231	0.1685286	1.0915219	0.1543978	228284_at	"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)"	TLE1
PR	0.0000058	0.1718712	1.0904681	0.1576123	210889_s_at	"Fc fragment of IgG, low affinity IIb, receptor (CD32)"	FCGR2B
PR	0.0001245	0.1736197	1.0899254	0.1592951	235372_at	Fc receptor-like A	FCRLA
PR	0.0025098	0.1889924	1.0853872	0.1741244	211990_at	"major histocompatibility complex, class II, DP alpha 1"	HLA-DPA1
PR	0.0000869	0.1946776	1.0838063	0.179624	208961_s_at	Kruppel-like factor 6	KLF6
PR	0.0000058	0.2192422	1.0774908	0.2034748	1553906_s_at	"FYVE, RhoGEF and PH domain containing 2"	FGD2
