subtype	FDR	geom_mean_c1	geom_mean_c2	fold_change	probe_set	description	gene_symbol
CD-2	< 1e-07	3.9535974	0.8492369	4.6554705	236694_at	chromosome Y open reading frame 15A	CYorf15A
CD-2	0.0006181	3.8620349	0.8516058	4.5350029	225681_at	collagen triple helix repeat containing 1	CTHRC1
CD-2	< 1e-07	3.8200879	0.8527122	4.4799265	208890_s_at	plexin B2	PLXNB2
CD-2	< 1e-07	3.8144828	0.852861	4.4725724	209290_s_at	nuclear factor I/B	NFIB
CD-2	< 1e-07	3.7204347	0.8553959	4.3493715	233059_at	"CDNA: FLJ22731 fis, clone HSI15841"	
CD-2	< 1e-07	3.7199229	0.8554099	4.3487021	216060_s_at	dishevelled associated activator of morphogenesis 1	DAAM1
CD-2	< 1e-07	3.7150105	0.8555443	4.3422772	206953_s_at	latrophilin 2	LPHN2
CD-2	< 1e-07	3.6538548	0.8572342	4.2623763	235764_at	Transcribed locus	
CD-1	0.0000152	25.3625836	0.8720453	29.0840214	230493_at	shisa homolog 2 (Xenopus laevis)	SHISA2
CD-1	0.0000078	15.80807	0.8896786	17.7682928	235278_at	MACRO domain containing 2	MACROD2
CD-1	< 1e-07	12.553168	0.8984067	13.9727009	210587_at	"inhibin, beta E"	INHBE
CD-1	0.0000653	11.2970595	0.9024266	12.5185357	218589_at	"purinergic receptor P2Y, G-protein coupled, 5"	P2RY5
CD-1	< 1e-07	10.9954476	0.9034613	12.1703581	206760_s_at	"Fc fragment of IgE, low affinity II, receptor for (CD23)"	FCER2
CD-1	0.0006098	10.0983844	0.9067231	11.1372309	207076_s_at	argininosuccinate synthetase 1	ASS1
CD-1	0.0001138	10.0364981	0.9069591	11.0660972	223823_at	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	KCNMB2
CD-1	< 1e-07	8.9180105	0.9115083	9.7837949	206759_at	"Fc fragment of IgE, low affinity II, receptor for (CD23)"	FCER2
CD-1	0.0018807	8.5231927	0.9132578	9.3327344	221911_at	ets variant gene 1	ETV1
CD-1	0.0000078	8.0790947	0.9153295	8.8264329	225285_at	"branched chain aminotransferase 1, cytosolic"	BCAT1
CD-1	< 1e-07	7.9077915	0.9161606	8.6314469	239468_at	mohawk homeobox	MKX
CD-1	< 1e-07	7.4388503	0.9185353	8.0986006	217127_at	cystathionase (cystathionine gamma-lyase)	CTH
CD-1	0.0000216	7.425297	0.9186062	8.0832209	204328_at	transmembrane channel-like 6	TMC6
CD-1	0.002176	7.4195051	0.9186366	8.0766489	212589_at	related RAS viral (r-ras) oncogene homolog 2	RRAS2
CD-1	0.000028	7.2884628	0.91933	7.9280158	219667_s_at	B-cell scaffold protein with ankyrin repeats 1	BANK1
CD-1	0.0002999	7.2260436	0.9196649	7.8572572	243780_at	"CDNA FLJ46553 fis, clone THYMU3038879"	
CD-1	< 1e-07	6.9635258	0.9211072	7.5599518	209921_at	"solute carrier family 7, (cationic amino acid transporter, y+ system) member 11"	SLC7A11
CD-1	< 1e-07	6.6877027	0.9226849	7.2480893	1558662_s_at	B-cell scaffold protein with ankyrin repeats 1	BANK1
CD-1	0.0104183	6.4598527	0.9240403	6.990878	208711_s_at	cyclin D1	CCND1
CD-1	0.0000409	6.3906113	0.9244621	6.9127892	226517_at	"branched chain aminotransferase 1, cytosolic"	BCAT1
CD-1	0.0000078	6.3729892	0.9245701	6.8929213	225864_at	"family with sequence similarity 84, member B"	FAM84B
CD-1	0.000182	6.2006087	0.9256443	6.6986946	221097_s_at	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	KCNMB2
CD-1	0.0004319	6.1423549	0.9260144	6.6331095	204114_at	nidogen 2 (osteonidogen)	NID2
CD-1	0.0012285	6.0299687	0.9267388	6.5066541	221969_at	Transcribed locus	
CD-1	0.0045346	5.9819354	0.9270527	6.452638	201029_s_at	CD99 molecule	CD99
CD-1	< 1e-07	5.9611484	0.9271893	6.4292676	212446_s_at	"LAG1 homolog, ceramide synthase 6"	LASS6
CD-1	< 1e-07	5.5319288	0.9301279	5.9474923	209210_s_at	fermitin family homolog 2 (Drosophila)	FERMT2
CD-1	< 1e-07	4.9686152	0.9343675	5.3176243	219892_at	transmembrane 6 superfamily member 1	TM6SF1
CD-1	0.0002634	4.8593663	0.9352476	5.1958074	227792_at	hypothetical protein LOC162073	LOC162073
CD-1	< 1e-07	4.7682678	0.9359974	5.0943175	220358_at	"basic leucine zipper transcription factor, ATF-like 3"	BATF3
CD-1	0.0000635	4.5720571	0.9376643	4.8760063	200628_s_at	tryptophanyl-tRNA synthetase	WARS
CD-1	< 1e-07	4.5537145	0.937824	4.8556176	233500_x_at	"C-type lectin domain family 2, member D"	CLEC2D
CD-1	0.0005574	4.4655519	0.9386007	4.7576696	213524_s_at	G0/G1switch 2	G0S2
CD-1	0.0000078	4.4566845	0.9386797	4.7478226	230659_at	Transcribed locus	
CD-1	0.0007557	4.3871369	0.9393051	4.67062	231576_at	Transcribed locus	
CD-1	0.0000653	4.3312316	0.9398153	4.6085987	201951_at	activated leukocyte cell adhesion molecule	ALCAM
CD-1	< 1e-07	4.1274468	0.9417352	4.3828104	219270_at	"ChaC, cation transport regulator homolog 1 (E. coli)"	CHAC1
CD-1	< 1e-07	4.0951216	0.9420488	4.3470377	212646_at	"raftlin, lipid raft linker 1"	RFTN1
CD-1	0.0003971	4.0705662	0.9422887	4.3198715	201830_s_at	neuroepithelial cell transforming gene 1	NET1
CD-1	0.0008157	4.0026173	0.9429606	4.2447341	231779_at	interleukin-1 receptor-associated kinase 2	IRAK2
CD-1	0.0002999	4.001535	0.9429715	4.2435378	209035_at	midkine (neurite growth-promoting factor 2)	MDK
CD-1	0.0007557	3.9684379	0.9433032	4.2069592	203767_s_at	"steroid sulfatase (microsomal), isozyme S"	STS
CD-1	0.001073	3.9607358	0.9433807	4.1984488	225955_at	"meteorin, glial cell differentiation regulator-like /// similar to meteorin, glial cell differentiation regulator-like"	LOC653506 /// METRNL
CD-1	0.0022947	3.9039716	0.9439576	4.1357489	242134_at	Transcribed locus	
CD-1	< 1e-07	3.8695689	0.9443115	4.0977675	223027_at	sorting nexin 9	SNX9
CD-1	0.0007598	3.822411	0.9448019	4.0457273	230740_at	Transcribed locus	
CD-1	0.0065776	3.8062163	0.9449718	4.0278623	202145_at	"lymphocyte antigen 6 complex, locus E"	LY6E
CD-1	0.0018513	3.7611089	0.945449	3.9781194	206398_s_at	CD19 molecule	CD19
CD-1	< 1e-07	3.6915566	0.9461965	3.9014691	209822_s_at	very low density lipoprotein receptor	VLDLR
CD-1	0.0000078	3.6659727	0.9464752	3.8732897	212993_at	BTB (POZ) domain containing 14A	BTBD14A
CTA	< 1e-07	6.599521	0.8699596	7.5860086	210387_at	"histone cluster 1, H2bg"	HIST1H2BG
CTA	< 1e-07	4.485077	0.8951231	5.01057	206102_at	GINS complex subunit 1 (Psf1 homolog)	GINS1
CTA	< 1e-07	4.4277244	0.895974	4.9418003	208955_at	deoxyuridine triphosphatase	DUT
CTA	0.0004846	4.2969984	0.8979585	4.7852973	238021_s_at	hCG1815491	hCG_1815491
CTA	< 1e-07	4.1232553	0.9006988	4.5778404	238762_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	MTHFD2L
CTA	0.0006999	4.116638	0.9008056	4.5699515	206834_at	"hemoglobin, beta /// hemoglobin, delta"	HBB /// HBD
CTA	< 1e-07	4.1031266	0.9010243	4.553847	227212_s_at	PHD finger protein 19	PHF19
CTA	0.0000022	4.016452	0.9024456	4.4506308	202016_at	mesoderm specific transcript homolog (mouse)	MEST
CTA	0.0000349	3.8199491	0.9057937	4.2172395	203213_at	"cell division cycle 2, G1 to S and G2 to M"	CDC2
CTA	0.0000109	3.7715417	0.9066469	4.1598792	238022_at	hCG1815491	hCG_1815491
CTA	0.0035044	3.6945174	0.9080291	4.0687215	209942_x_at	"melanoma antigen family A, 3"	MAGEA3
CTA	< 1e-07	3.6358618	0.9091026	3.9993966	202095_s_at	baculoviral IAP repeat-containing 5 (survivin)	BIRC5
CTA	< 1e-07	3.4671961	0.9122961	3.8005161	223679_at	"catenin (cadherin-associated protein), beta 1, 88kDa"	CTNNB1
CTA	0.0000022	3.4108436	0.9134004	3.7342259	210253_at	"HIV-1 Tat interactive protein 2, 30kDa"	HTATIP2
CTA	< 1e-07	3.3794408	0.9140244	3.6973204	1557137_at	transmembrane protein 17	TMEM17
CTA	< 1e-07	3.3792098	0.914029	3.697049	1552822_at	thioredoxin domain containing 10	TXNDC10
CTA	0.0042308	3.3310771	0.9149975	3.6405312	214612_x_at	"melanoma antigen family A, 6"	MAGEA6
CTA	< 1e-07	3.2592825	0.9164705	3.5563419	219076_s_at	"peroxisomal membrane protein 2, 22kDa"	PXMP2
CTA	0.0009654	3.2523552	0.9166145	3.5482257	214230_at	"cell division cycle 42 (GTP binding protein, 25kDa)"	CDC42
CTA	0.0001595	3.2487389	0.9166898	3.5439894	210942_s_at	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	ST3GAL6
CTA	0.0055428	3.2344274	0.9169886	3.5272275	235401_s_at	Fc receptor-like A	FCRLA
CTA	0.0000612	3.2128384	0.9174421	3.5019522	202503_s_at	KIAA0101	KIAA0101
CTA	< 1e-07	3.1937029	0.9178468	3.4795598	224496_s_at	transmembrane protein 107	TMEM107
CTA	< 1e-07	3.1391471	0.9190151	3.4157733	205943_at	"tryptophan 2,3-dioxygenase"	TDO2
CTA	< 1e-07	3.10996	0.9196491	3.3816813	203401_at	phosphoribosyl pyrophosphate synthetase 2	PRPS2
CTA	0.0001411	3.0928454	0.9200238	3.3617016	213355_at	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	ST3GAL6
CTA	< 1e-07	3.0862216	0.9201694	3.3539711	230099_at	Transcribed locus	
CTA	< 1e-07	3.0591555	0.920768	3.3223956	219148_at	PDZ binding kinase	PBK
CTA	0.0001378	3.0111278	0.9218443	3.2664169	202746_at	integral membrane protein 2A	ITM2A
CTA	< 1e-07	2.9665801	0.9228592	3.2145532	210467_x_at	"melanoma antigen family A, 12"	MAGEA12
CTA	0.0001978	2.9573068	0.9230726	3.2037642	235902_at	"CDNA FLJ42963 fis, clone BRSTN2012380"	
CTA	0.0035068	2.9472548	0.9233046	3.192072	201890_at	ribonucleotide reductase M2 polypeptide	RRM2
CTA	0.0000516	2.930341	0.923697	3.172405	1552426_a_at	TM2 domain containing 3	TM2D3
CTA	0.0008875	2.926436	0.9237879	3.1678655	204638_at	"acid phosphatase 5, tartrate resistant"	ACP5
CTA	0.0037704	2.9139097	0.9240805	3.1533071	205483_s_at	ISG15 ubiquitin-like modifier	ISG15
CTA	< 1e-07	2.8970189	0.9244772	3.1336834	222477_s_at	transmembrane 7 superfamily member 3	TM7SF3
CTA	0.0010976	2.8903511	0.9246345	3.1259391	204159_at	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	CDKN2C
CTA	0.0000126	2.8862304	0.9247319	3.1211537	206897_at	"P antigen family, member 1 (prostate associated)"	PAGE1
CTA	0.0000109	2.8637685	0.9252654	3.0950779	203554_x_at	pituitary tumor-transforming 1	PTTG1
CTA	0.0000712	2.8509907	0.9255709	3.080251	207739_s_at		Multiple Gene Symbols
CTA	0.0006069	2.8448992	0.9257171	3.0731843	225105_at	overexpressed in colon carcinoma-1	OCC-1
CTA	0.0000095	2.829401	0.9260905	3.0552101	213087_s_at	CDNA clone IMAGE:4838699	
CTA	0.0000286	2.797486	0.9268664	3.0182192	202732_at	"protein kinase (cAMP-dependent, catalytic) inhibitor gamma"	PKIG
CTA	0.0015879	2.7664395	0.9276303	2.9822651	225767_at		
CTA	0.000845	2.7580886	0.9278374	2.9725991	219569_s_at	transmembrane protein 22	TMEM22
CTA	0.0000335	2.7283461	0.9285804	2.9381906	208235_x_at	G antigen 7 /// G antigen 12I /// G antigen 12G /// G antigen 12J /// G antigen 12F	GAGE12F /// GAGE12G /// GAGE12I /// GAGE12J /// GAGE7
CTA	0.0003534	2.7263549	0.9286304	2.935888	213931_at	"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein /// inhibitor of DNA binding 2B, dominant negative helix-loop-helix protein"	ID2 /// ID2B
CTA	0.0001939	2.7244902	0.9286773	2.9337317	228361_at	E2F transcription factor 2	E2F2
CTA	0.0000077	2.7115407	0.929004	2.9187609	222781_s_at	chromosome 9 open reading frame 40	C9orf40
CTA	0.0036596	2.7090516	0.929067	2.9158839	209108_at	tetraspanin 6	TSPAN6
NFkB	< 1e-07	13.6270564	0.7106994	19.1741492	214230_at	"cell division cycle 42 (GTP binding protein, 25kDa)"	CDC42
NFkB	< 1e-07	8.8220653	0.7522708	11.7272467	202643_s_at	"tumor necrosis factor, alpha-induced protein 3"	TNFAIP3
NFkB	< 1e-07	8.2468719	0.7589313	10.8664275	211032_at	COBL-like 1	COBLL1
NFkB	< 1e-07	7.7958985	0.7645318	10.1969573	1557257_at	B-cell CLL/lymphoma 10	BCL10
NFkB	< 1e-07	7.3361055	0.7706324	9.5195915	1559249_at	ataxin 1	ATXN1
NFkB	< 1e-07	6.7229608	0.7794765	8.624969	208622_s_at	ezrin	EZR
NFkB	< 1e-07	6.6841212	0.7800672	8.5686479	230082_at	hypothetical LOC100133660	LOC100133660
NFkB	< 1e-07	6.3908941	0.7846559	8.144837	233506_at	Full length insert cDNA clone ZB81B12	
NFkB	< 1e-07	6.3253042	0.7857149	8.0503811	1554229_at	chromosome 5 open reading frame 41	C5orf41
NFkB	< 1e-07	6.2659251	0.7866844	7.9649798	238633_at	Enhancer of polycomb homolog 1 (Drosophila)	EPC1
NFkB	< 1e-07	6.1771594	0.7881532	7.8375108	1552542_s_at	T-cell activation RhoGTPase activating protein	TAGAP
NFkB	< 1e-07	6.1112454	0.7892594	7.743012	36711_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF
NFkB	< 1e-07	5.8102423	0.7944886	7.313185	222309_at	Chromosome 6 open reading frame 62	C6orf62
NFkB	< 1e-07	5.5999541	0.798327	7.0146118	202859_x_at	interleukin 8	IL8
NFkB	< 1e-07	5.5357971	0.7995306	6.9238087	204141_at	"tubulin, beta 2A"	TUBB2A
NFkB	< 1e-07	5.4277944	0.8015929	6.771261	1559975_at	"B-cell translocation gene 1, anti-proliferative"	BTG1
NFkB	< 1e-07	5.3042401	0.8040097	6.5972341	207574_s_at	"growth arrest and DNA-damage-inducible, beta"	GADD45B
NFkB	< 1e-07	5.2172974	0.8057488	6.4750914	1558111_at	muscleblind-like (Drosophila)	MBNL1
NFkB	< 1e-07	5.0586634	0.8090082	6.2529199	224783_at	"family with sequence similarity 100, member B"	FAM100B
NFkB	< 1e-07	4.9829666	0.8106044	6.1472233	203543_s_at	Kruppel-like factor 9	KLF9
NFkB	< 1e-07	4.9789671	0.8106896	6.1416444	209305_s_at	"growth arrest and DNA-damage-inducible, beta"	GADD45B
NFkB	< 1e-07	4.9564081	0.811171	6.1101888	203927_at	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	NFKBIE
NFkB	< 1e-07	4.8862019	0.8126854	6.012415	237097_at	MRNA; cDNA DKFZp761H0824 (from clone DKFZp761H0824)	
NFkB	< 1e-07	4.6170097	0.8187289	5.6392413	209304_x_at	"growth arrest and DNA-damage-inducible, beta"	GADD45B
NFkB	< 1e-07	4.5810883	0.8195654	5.5896558	1554719_at	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa"	NDUFA10
NFkB	< 1e-07	4.4885415	0.8217551	5.4621399	203542_s_at	Kruppel-like factor 9	KLF9
NFkB	< 1e-07	4.4142308	0.8235507	5.3599989	210232_at	"cell division cycle 42 (GTP binding protein, 25kDa)"	CDC42
NFkB	< 1e-07	4.3878047	0.8241975	5.32373	222044_at	PDX1 C-terminal inhibiting factor 1	PCIF1
NFkB	< 1e-07	4.16252	0.8298968	5.015708	240038_at	Transcribed locus	
NFkB	0.0000481	4.0643815	0.8324896	4.882201	205114_s_at		CCL3 /// CCL3L1 /// CCL3L3 /// LOC728830
NFkB	< 1e-07	4.0345492	0.8332918	4.8417002	1560225_at	Cannabinoid receptor 1 (brain)	CNR1
NFkB	< 1e-07	3.8916576	0.8372296	4.648256	226342_at	"spectrin, beta, non-erythrocytic 1"	SPTBN1
NFkB	< 1e-07	3.8097232	0.8395621	4.5377506	236609_at	Hypothetical protein LOC100129592	LOC100129592
NFkB	< 1e-07	3.7276914	0.8419548	4.4274246	217682_at	"CDNA FLJ37032 fis, clone BRACE2011265"	
NFkB	< 1e-07	3.7252764	0.8420261	4.4241815	200730_s_at	"protein tyrosine phosphatase type IVA, member 1"	PTP4A1
NFkB	< 1e-07	3.6764212	0.8434807	4.3586311	219681_s_at	RAB11 family interacting protein 1 (class I)	RAB11FIP1
NFkB	< 1e-07	3.6607544	0.8439518	4.3376345	228562_at	Transcribed locus	
NFkB	< 1e-07	3.6262394	0.8449977	4.2914193	208960_s_at	Kruppel-like factor 6	KLF6
NFkB	0.0032819	3.601143	0.8457653	4.2578516	206701_x_at	endothelin receptor type B	EDNRB
NFkB	< 1e-07	3.555942	0.8471632	4.1974701	208961_s_at	Kruppel-like factor 6	KLF6
NFkB	< 1e-07	3.530539	0.8479576	4.1635796	214169_at	unc-84 homolog A (C. elegans)	UNC84A
NFkB	< 1e-07	3.5298889	0.847978	4.1627127	209545_s_at	receptor-interacting serine-threonine kinase 2	RIPK2
NFkB	< 1e-07	3.5223291	0.8482158	4.1526335	238389_s_at	"Transcribed locus, moderately similar to XP_001093747.1 PREDICTED: tumor protein p53 binding protein, 2 [Macaca mulatta]"	
NFkB	< 1e-07	3.4934409	0.8491295	4.1141438	209536_s_at	EH-domain containing 4	EHD4
NFkB	< 1e-07	3.4691199	0.8499055	4.0817715	218486_at	Kruppel-like factor 11	KLF11
NFkB	< 1e-07	3.330996	0.8544322	3.8984909	227044_at	Transcribed locus	
NFkB	< 1e-07	3.2609226	0.8568106	3.8058852	205193_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF
NFkB	< 1e-07	3.2326093	0.857788	3.7685411	225239_at	"CDNA FLJ26120 fis, clone SYN00419"	
NFkB	0.0001686	3.2049201	0.8587533	3.7320615	229437_at	microRNA 155	MIRN155
NFkB	< 1e-07	3.1967977	0.8590383	3.7213682	203411_s_at	lamin A/C	LMNA
HY	< 1e-07	4.9789202	0.6013082	8.2801475	222943_at	"glucosidase, beta, acid 3 (cytosolic)"	GBA3
HY	< 1e-07	3.7886776	0.6556819	5.7782249	219954_s_at	"glucosidase, beta, acid 3 (cytosolic)"	GBA3
HY	0.0000104	3.4713708	0.674109	5.1495688	219463_at	chromosome 20 open reading frame 103	C20orf103
HY	< 1e-07	3.4344139	0.6763992	5.0774957	203153_at	interferon-induced protein with tetratricopeptide repeats 1	IFIT1
HY	< 1e-07	3.3976422	0.6787103	5.006027	214329_x_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
HY	< 1e-07	3.2924496	0.6855079	4.8029347	202687_s_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
HY	< 1e-07	3.1700114	0.6937894	4.5691265	212843_at	neural cell adhesion molecule 1	NCAM1
HY	< 1e-07	3.1609428	0.6944195	4.5519212	205051_s_at	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT
HY	< 1e-07	3.128972	0.69666	4.4913903	202688_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
HY	< 1e-07	3.096487	0.6989676	4.4300864	206609_at	"melanoma antigen family C, 1"	MAGEC1
HY	< 1e-07	2.8715553	0.7158719	4.0112699	202973_x_at	"family with sequence similarity 13, member A1"	FAM13A1
HY	< 1e-07	2.8395766	0.7184167	3.952548	211434_s_at	chemokine (C-C motif) receptor-like 2 /// similar to chemokine (C-C motif) receptor-like 2	CCRL2 /// LOC727811
HY	< 1e-07	2.8172746	0.7202139	3.9117192	201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1
HY	< 1e-07	2.8104648	0.7207665	3.8992723	227099_s_at	hypothetical LOC387763	LOC387763
HY	< 1e-07	2.7344049	0.7270599	3.7609071	217147_s_at	T cell receptor associated transmembrane adaptor 1	TRAT1
HY	< 1e-07	2.6146788	0.7374484	3.5455753	235228_at	coiled-coil domain containing 85A	CCDC85A
HY	< 1e-07	2.6134784	0.7375557	3.5434318	213425_at	"wingless-type MMTV integration site family, member 5A"	WNT5A
HY	0.0000954	2.5963952	0.73909	3.5129623	203698_s_at	frizzled-related protein	FRZB
HY	< 1e-07	2.5546182	0.7428988	3.4387165	233555_s_at	sulfatase 2	SULF2
HY	0.0000025	2.5495244	0.7433688	3.42969	242625_at	radical S-adenosyl methionine domain containing 2	RSAD2
HY	0.0001394	2.5442365	0.743858	3.4203256	203697_at	frizzled-related protein	FRZB
HY	0.0000605	2.523171	0.7458203	3.3830818	204602_at	dickkopf homolog 1 (Xenopus laevis)	DKK1
HY	< 1e-07	2.5165273	0.7464436	3.3713562	209737_at	"membrane associated guanylate kinase, WW and PDZ domain containing 2"	MAGI2
HY	0.0000068	2.4891251	0.7490378	3.3230968	205923_at	reelin	RELN
HY	0.0000025	2.4769914	0.7501985	3.3017814	229450_at	interferon-induced protein with tetratricopeptide repeats 3	IFIT3
HY	0.0000068	2.4259887	0.7551607	3.2125464	206978_at	chemokine (C-C motif) receptor 2 /// chemokine (C-C motif) receptor 2-like	CCR2 /// FLJ78302
HY	< 1e-07	2.3585484	0.7619372	3.0954632	230425_at	EPH receptor B1	EPHB1
HY	< 1e-07	2.3556183	0.7622373	3.0904001	224763_at	Ribosomal protein L37	RPL37
HY	< 1e-07	2.351614	0.7626484	3.083484	213110_s_at	"collagen, type IV, alpha 5 (Alport syndrome)"	COL4A5
HY	< 1e-07	2.3097718	0.7669993	3.0114391	213992_at	"collagen, type IV, alpha 6"	COL4A6
HY	0.0006764	2.2697017	0.7712644	2.9428321	211644_x_at	immunoglobulin kappa constant /// immunoglobulin kappa variable 3D-15 /// immunoglobulin kappa variable 3D-11 /// immunoglobulin kappa variable 3-20 /// immunoglobulin kappa locus	IGK@ /// IGKC /// IGKV3-20 /// IGKV3D-11 /// IGKV3D-15
HY	< 1e-07	2.2503593	0.7733589	2.9098511	228617_at	XIAP associated factor 1	XAF1
HY	0.0000196	2.2425118	0.7742155	2.8964958	204430_s_at	"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"	SLC2A5
HY	< 1e-07	2.2193495	0.7767668	2.8571633	202086_at	"myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"	MX1
HY	< 1e-07	2.2169667	0.7770312	2.8531245	235474_at		
